measurement_id,formula_string,formula_class,C,H,O,N,S
7937,C29 H40 O9,CHO,29,40,9,0,0
7937,C17 H10 O7,CHO,17,10,7,0,0
7937,C28 H32 O11,CHO,28,32,11,0,0
7937,C17 H16 O10 S1,CHOS,17,16,10,0,1
7937,C14 H14 N2 O7,CHNO,14,14,7,2,0
7937,C13 H14 N2 O6,CHNO,13,14,6,2,0
7937,C13 H6 O9,CHO,13,6,9,0,0
7937,C25 H18 O12,CHO,25,18,12,0,0
7937,C20 H10 O8,CHO,20,10,8,0,0
7937,C30 H34 O11,CHO,30,34,11,0,0
7937,C19 H34 O4,CHO,19,34,4,0,0
7937,C26 H38 O13,CHO,26,38,13,0,0
7937,C31 H38 O14,CHO,31,38,14,0,0
7937,C9 H12 O3,CHO,9,12,3,0,0
7937,C14 H8 O7,CHO,14,8,7,0,0
7937,C14 H6 O9,CHO,14,6,9,0,0
7937,C17 H9 N1 O7,CHNO,17,9,7,1,0
7937,C19 H12 O5,CHO,19,12,5,0,0
7937,C8 H12 O4,CHO,8,12,4,0,0
7937,C12 H22 O2,CHO,12,22,2,0,0
7937,C19 H22 N2 O9,CHNO,19,22,9,2,0
7937,C14 H15 N1 O8,CHNO,14,15,8,1,0
7937,C19 H20 N2 O8,CHNO,19,20,8,2,0
7937,C23 H16 O6,CHO,23,16,6,0,0
7937,C15 H25 N1 O5,CHNO,15,25,5,1,0
7937,C17 H10 O4,CHO,17,10,4,0,0
7937,C15 H12 O8 S1,CHOS,15,12,8,0,1
7937,C16 H10 O10,CHO,16,10,10,0,0
7937,C28 H32 O7,CHO,28,32,7,0,0
7937,C26 H32 O13,CHO,26,32,13,0,0
7937,C11 H8 O3,CHO,11,8,3,0,0
7937,C13 H14 N2 O5,CHNO,13,14,5,2,0
7937,C14 H20 N2 O7,CHNO,14,20,7,2,0
7937,C19 H14 O5,CHO,19,14,5,0,0
7937,C20 H28 O7,CHO,20,28,7,0,0
7937,C25 H38 O12,CHO,25,38,12,0,0
7937,C19 H15 N1 O7,CHNO,19,15,7,1,0
7937,C21 H18 O3 S1,CHOS,21,18,3,0,1
7937,C28 H26 O7 S1,CHOS,28,26,7,0,1
