timepoint,cd_name,empty_slots,free_bikes,slots
10,Long Island City and Astoria (CD1),1202,1675,3046
10,Lower East Side and Chinatown (CD3),1071,2425,3864
10,Midtown (CD5),3200,548,4178
10,Morningside Heights and Hamilton Heights (CD9),681,301,1094
10,Morrisania and Crotona (CD3),323,430,830
10,Mott Haven and Melrose (CD1),465,587,1151
10,Park Slope and Carroll Gardens (CD6),544,1360,2132
10,Ridgewood and Maspeth (CD5),634,689,1380
10,Riverdale and Fieldston (CD8),156,10,167
10,South Crown Heights and Lefferts Gardens (CD9),422,655,1128
10,Stuyvesant Town and Turtle Bay (CD6),1374,870,2496
10,Sunset Park (CD7),527,1104,1699
10,Upper East Side (CD8),1103,779,2088
10,Upper West Side (CD7),668,966,1884
10,Washington Heights and Inwood (CD12),780,620,1515
10,Woodside and Sunnyside (CD2),1056,1037,2218
11,Bay Ridge and Dyker Heights (CD10),22,110,146
11,Bedford Stuyvesant (CD3),729,528,1372
11,Belmont and East Tremont (CD6),293,101,425
11,Borough Park (CD12),22,219,252
11,Brownsville (CD16),339,108,459
11,Bushwick (CD4),807,559,1449
11,Central Harlem (CD10),325,668,1092
11,Clinton and Chelsea (CD4),1371,1591,3438
11,Crown Heights and Prospect Heights (CD8),584,426,1108
11,East Flatbush (CD17),20,545,589
11,East Harlem (CD11),415,687,1209
11,East New York and Starrett City (CD5),49,12,66
11,Elmhurst and Corona (CD4),294,683,1013
11,Financial District (CD1),981,1624,2809
11,Flatbush and Midwood (CD14),32,459,526
11,Fordham and University Heights (CD5),581,298,955
11,Fort Greene and Brooklyn Heights (CD2),1294,1755,3275
11,Greenpoint and Williamsburg (CD1),1081,2191,3453
11,Greenwich Village and Soho (CD2),1055,1598,3060
11,Highbridge and Concourse (CD4),571,620,1289
11,Hunts Point and Longwood (CD2),235,234,491
11,Jackson Heights (CD3),914,799,1783
11,Kingsbridge Heights and Bedford (CD7),520,402,1026
11,Long Island City and Astoria (CD1),1207,1668,3046
11,Lower East Side and Chinatown (CD3),1078,2434,3864
11,Midtown (CD5),3208,552,4178
11,Morningside Heights and Hamilton Heights (CD9),682,303,1094
11,Morrisania and Crotona (CD3),325,428,830
11,Mott Haven and Melrose (CD1),465,587,1151
11,Park Slope and Carroll Gardens (CD6),542,1364,2132
11,Ridgewood and Maspeth (CD5),619,703,1380
11,Riverdale and Fieldston (CD8),156,10,167
11,South Crown Heights and Lefferts Gardens (CD9),428,652,1128
11,Stuyvesant Town and Turtle Bay (CD6),1395,864,2496
11,Sunset Park (CD7),527,1105,1699
11,Upper East Side (CD8),1116,776,2088
11,Upper West Side (CD7),627,1011,1884
11,Washington Heights and Inwood (CD12),782,618,1515
11,Woodside and Sunnyside (CD2),1058,1038,2218
12,Bay Ridge and Dyker Heights (CD10),22,110,146
12,Bedford Stuyvesant (CD3),738,525,1372
12,Belmont and East Tremont (CD6),293,101,425
12,Borough Park (CD12),22,219,252
12,Brownsville (CD16),340,107,459
12,Bushwick (CD4),812,554,1449
