formula_string,C,H,O,N,S
C26 H10 O17,26,10,17,0,0
C16 13C1 H14 O11,16,14,11,0,0
C28 13C1 H28 O18,28,28,18,0,0
C18 H10 O4 S1,18,10,4,0,1
C30 H22 O23,30,22,23,0,0
C24 13C1 H16 O19,24,16,19,0,0
C23 H19 N1 O12,23,19,12,1,0
C24 13C1 H16 O20,24,16,20,0,0
C18 H15 N1 O20,18,15,20,1,0
C24 H12 O17,24,12,17,0,0
C11 13C1 H8 O10,11,8,10,0,0
C19 H8 O13,19,8,13,0,0
C22 13C1 H22 O16,22,22,16,0,0
C37 H32 O22,37,32,22,0,0
C28 H30 O21,28,30,21,0,0
C13 H16 O10,13,16,10,0,0
C27 H25 N1 O16,27,25,16,1,0
C20 H15 N1 O14,20,15,14,1,0
C21 13C1 H16 O17,21,16,17,0,0
C20 H20 O9,20,20,9,0,0
C19 H28 N2 O15 S1,19,28,15,2,1
C27 H24 O13,27,24,13,0,0
C28 H23 N1 O18,28,23,18,1,0
C30 H20 N2 O20 S1,30,20,20,2,1
C35 H72 N2 O2,35,72,2,2,0
C11 H8 O12 S1,11,8,12,0,1
C35 H70 O1,35,70,1,0,0
C9 H8 O4 S1,9,8,4,0,1
C22 H12 O18,22,12,18,0,0
C21 13C1 H24 O16,21,24,16,0,0
C28 H30 O18,28,30,18,0,0
C37 H28 O26,37,28,26,0,0
C11 13C1 H14 O10,11,14,10,0,0
C24 13C1 H18 O15,24,18,15,0,0
C30 H27 N1 O19,30,27,19,1,0
C28 13C1 H24 O18,28,24,18,0,0
C19 H20 N2 O12,19,20,12,2,0
C35 H28 O25,35,28,25,0,0
C18 H21 N1 O19 S1,18,21,19,1,1
C28 13C1 H24 O16,28,24,16,0,0
C12 H12 O6,12,12,6,0,0
C21 H22 O14,21,22,14,0,0
C13 H16 O11,13,16,11,0,0
C25 H19 N1 O15,25,19,15,1,0
C14 13C1 H12 O8,14,12,8,0,0
C32 H24 O23,32,24,23,0,0
C13 H13 N1 O9,13,13,9,1,0
C20 H15 N1 O8 S1,20,15,8,1,1
C10 H9 N1 O7 S1,10,9,7,1,1
C20 H15 N1 O11,20,15,11,1,0
C14 13C1 H16 O13,14,16,13,0,0
C22 H20 O18,22,20,18,0,0
C28 H23 N1 O16,28,23,16,1,0
C19 H16 O12,19,16,12,0,0
C23 13C1 H18 O19,23,18,19,0,0
C38 H69 N1 O4,38,69,4,1,0
C20 H19 N1 O13,20,19,13,1,0
C28 13C1 H26 O23,28,26,23,0,0
C20 H8 O12,20,8,12,0,0
C26 H20 O14,26,20,14,0,0
C19 13C1 H15 N1 O22,19,15,22,1,0
C22 H17 N1 O13,22,17,13,1,0
C27 H26 O20,27,26,20,0,0
C38 H72 O7,38,72,7,0,0
C16 H20 O11,16,20,11,0,0
C18 13C1 H12 O12,18,12,12,0,0
C25 13C1 H26 O19,25,26,19,0,0
C28 13C1 H26 O21,28,26,21,0,0
C23 13C1 H22 O18,23,22,18,0,0
C27 H18 O22,27,18,22,0,0
C18 H15 N1 O8 S1,18,15,8,1,1
C15 H17 N1 O9,15,17,9,1,0
C21 H12 N2 O17 S1,21,12,17,2,1
C21 H13 N1 O10 S1,21,13,10,1,1
C23 H21 N1 O15,23,21,15,1,0
C21 H12 O16,21,12,16,0,0
C39 H76 O3 34S1,39,76,3,0,0
C25 H22 O14,25,22,14,0,0
C28 13C1 H17 N1 O19,28,17,19,1,0
C18 H15 N1 O12,18,15,12,1,0
C23 H20 N2 O21 S1,23,20,21,2,1
C31 H16 O19,31,16,19,0,0
C17 H13 N1 O12,17,13,12,1,0
C26 H18 O11 S1 34S1,26,18,11,0,1
C18 H14 O16,18,14,16,0,0
C18 13C1 H12 O15,18,12,15,0,0
C28 13C1 H18 O19,28,18,19,0,0
C24 H30 O16,24,30,16,0,0
C21 13C1 H24 O13,21,24,13,0,0
C29 H16 O20,29,16,20,0,0
C45 H80 N2 O3 S1,45,80,3,2,1
C16 13C1 H14 O13,16,14,13,0,0
C35 H30 O22,35,30,22,0,0
C15 H10 O5,15,10,5,0,0
C13 H16 O8,13,16,8,0,0
C31 H18 O24,31,18,24,0,0
C37 H73 N1 O1,37,73,1,1,0
C26 H26 N2 O23 S1,26,26,23,2,1
C34 H22 O21,34,22,21,0,0
C19 H24 O9,19,24,9,0,0
C26 13C1 H28 O19,26,28,19,0,0
C15 H20 O9,15,20,9,0,0
C16 H12 O13,16,12,13,0,0
C22 13C1 H16 O16,22,16,16,0,0
C31 H34 O22,31,34,22,0,0
C25 H24 O19,25,24,19,0,0
C24 H26 O15,24,26,15,0,0
C20 H23 N1 O20 S1,20,23,20,1,1
C19 H20 O14,19,20,14,0,0
C18 H19 N1 O20,18,19,20,1,0
C21 H26 O15,21,26,15,0,0
C17 H12 O12 S1,17,12,12,0,1
C31 H24 O18,31,24,18,0,0
C29 H32 N2 O24 S1,29,32,24,2,1
C37 H28 O22,37,28,22,0,0
C23 H17 N1 O12,23,17,12,1,0
C25 H26 O20,25,26,20,0,0
C26 H24 O21,26,24,21,0,0
C30 H28 N2 O25 S1,30,28,25,2,1
C9 H5 N1 O6,9,5,6,1,0
C23 13C1 H20 O14,23,20,14,0,0
C11 H13 N1 O4,11,13,4,1,0
C11 H4 O7,11,4,7,0,0
C12 H10 O2,12,10,2,0,0
C31 H22 O18 S1,31,22,18,0,1
C13 H12 O9,13,12,9,0,0
C21 H17 N1 O20 S1,21,17,20,1,1
C19 H18 O21 34S1,19,18,21,0,0
C30 H24 O20,30,24,20,0,0
C23 H28 O14,23,28,14,0,0
C14 H20 O9,14,20,9,0,0
C39 H78 O3 S1,39,78,3,0,1
C22 H16 O14,22,16,14,0,0
C16 H14 O10 S1,16,14,10,0,1
C21 H26 O13,21,26,13,0,0
C14 H10 O12,14,10,12,0,0
C15 H13 N1 O8,15,13,8,1,0
C27 13C1 H26 O18,27,26,18,0,0
C36 H74 O1,36,74,1,0,0
C22 H24 O13,22,24,13,0,0
C20 H8 N2 O16 S1,20,8,16,2,1
C28 H30 N2 O23 S1,28,30,23,2,1
C12 H6 O7,12,6,7,0,0
C9 13C1 H6 O9,9,6,9,0,0
C30 H26 O16,30,26,16,0,0
C23 H26 O12,23,26,12,0,0
C20 H11 N1 O14,20,11,14,1,0
C15 H20 O10,15,20,10,0,0
C14 13C1 H18 O8,14,18,8,0,0
C31 H30 O21,31,30,21,0,0
C20 H26 O11,20,26,11,0,0
C25 13C1 H16 O20,25,16,20,0,0
C27 H18 O23,27,18,23,0,0
C24 H21 N1 O14,24,21,14,1,0
C26 13C1 H30 O18,26,30,18,0,0
C18 13C1 H18 O13,18,18,13,0,0
C31 H22 O22,31,22,22,0,0
C32 H25 N1 O20,32,25,20,1,0
C17 H14 O8,17,14,8,0,0
C16 H20 O8,16,20,8,0,0
C27 H32 O16,27,32,16,0,0
C15 H16 O12,15,16,12,0,0
C38 H78 O3 34S1,38,78,3,0,0
C19 H14 O14,19,14,14,0,0
C36 13C1 H74 N2 O6,36,74,6,2,0
C40 H72,40,72,0,0,0
C28 H27 N1 O18,28,27,18,1,0
C22 H18 N2 O20,22,18,20,2,0
C28 13C1 H26 O20,28,26,20,0,0
C23 H24 N2 O22 S1,23,24,22,2,1
C31 H20 O20,31,20,20,0,0
C8 13C1 H12 O7,8,12,7,0,0
C19 H9 N1 O13,19,9,13,1,0
C17 H13 N1 O11,17,13,11,1,0
C12 H12 O5,12,12,5,0,0
C25 H23 N1 O15,25,23,15,1,0
C26 H13 N1 O17,26,13,17,1,0
C22 H16 O5 S1,22,16,5,0,1
C12 13C1 H12 O8,12,12,8,0,0
C14 13C1 H16 O10,14,16,10,0,0
C24 H12 O16,24,12,16,0,0
C23 H15 N1 O13 S1,23,15,13,1,1
C17 13C1 H18 O15,17,18,15,0,0
C32 H22 O23,32,22,23,0,0
C25 H14 O9 S1,25,14,9,0,1
C19 H16 O15,19,16,15,0,0
C31 13C1 H24 O21,31,24,21,0,0
C34 H24 O23,34,24,23,0,0
C35 H24 O24,35,24,24,0,0
C25 13C1 H18 O18,25,18,18,0,0
C22 13C1 H26 O17,22,26,17,0,0
C9 H8 O7 S1,9,8,7,0,1
C11 H9 N1 O7,11,9,7,1,0
C17 H16 O12,17,16,12,0,0
C25 H23 N1 O14,25,23,14,1,0
C13 13C1 H18 O7,13,18,7,0,0
C14 H11 N1 O8,14,11,8,1,0
C24 H20 O14 S1,24,20,14,0,1
C16 H12 O3 S1,16,12,3,0,1
C20 H16 O9 S1,20,16,9,0,1
C36 H74 N2 O4 S1,36,74,4,2,1
C44 H70 O2,44,70,2,0,0
C21 H26 O11,21,26,11,0,0
C20 H15 N1 O10 S1,20,15,10,1,1
C23 13C1 H20 O17,23,20,17,0,0
C9 H6 O5,9,6,5,0,0
C23 13C1 H16 O16,23,16,16,0,0
C30 H21 N1 O21,30,21,21,1,0
C38 H77 N1 O3 S1,38,77,3,1,1
C28 13C1 H28 O21,28,28,21,0,0
C14 H10 O10,14,10,10,0,0
C28 H18 O20,28,18,20,0,0
C13 H14 O12,13,14,12,0,0
C33 H21 N1 O20,33,21,20,1,0
C20 H22 N2 O17,20,22,17,2,0
C17 13C1 H22 O13,17,22,13,0,0
C22 H15 N1 O18 S1,22,15,18,1,1
C24 H16 O17,24,16,17,0,0
C15 H12 O2 S1,15,12,2,0,1
C26 H14 O17,26,14,17,0,0
C23 H12 O17,23,12,17,0,0
C12 H12 O9 S1,12,12,9,0,1
C32 13C1 H26 O22,32,26,22,0,0
C12 H14 O10 S1,12,14,10,0,1
C23 13C1 H24 O16,23,24,16,0,0
C41 H76 O3 S1,41,76,3,0,1
C20 H24 N2 O20,20,24,20,2,0
C35 H69 N1 O1,35,69,1,1,0
C20 H24 O16,20,24,16,0,0
C23 13C1 H26 N2 O23 S1,23,26,23,2,1
C31 13C1 H22 O21,31,22,21,0,0
C24 H15 N1 O18,24,15,18,1,0
C12 13C1 H16 O11,12,16,11,0,0
C23 H18 O15 S1,23,18,15,0,1
C17 H12 O14,17,12,14,0,0
C24 13C1 H16 O18,24,16,18,0,0
C6 H8 O3 S1,6,8,3,0,1
C26 H22 N2 O24 S1,26,22,24,2,1
C23 H10 O15,23,10,15,0,0
C26 H15 N1 O13 S1,26,15,13,1,1
C27 H14 O20,27,14,20,0,0
C17 13C1 H13 N1 O19,17,13,19,1,0
C31 13C1 H24 O23,31,24,23,0,0
C28 H23 N1 O19 S1,28,23,19,1,1
C21 H19 N1 O23,21,19,23,1,0
C33 H24 O21,33,24,21,0,0
C13 H10 O14 S1,13,10,14,0,1
C21 H12 O12,21,12,12,0,0
C20 H18 O15,20,18,15,0,0
C21 H10 O7 S1,21,10,7,0,1
C20 13C1 H20 O17,20,20,17,0,0
C26 H28 O19,26,28,19,0,0
C46 H82 O6 34S1,46,82,6,0,0
C37 H74 O5,37,74,5,0,0
C20 H20 N2 O17,20,20,17,2,0
C15 H12 O10,15,12,10,0,0
C22 H19 N1 O21 S1,22,19,21,1,1
C28 13C1 H22 O21,28,22,21,0,0
C14 H20 O7,14,20,7,0,0
C9 13C1 H6 O8,9,6,8,0,0
C26 13C1 H18 O18,26,18,18,0,0
C18 13C1 H22 O13,18,22,13,0,0
C24 13C1 H28 O15,24,28,15,0,0
C15 H18 O12,15,18,12,0,0
C18 H18 N2 O11,18,18,11,2,0
C31 H28 O22,31,28,22,0,0
C24 H28 N2 O22 S1,24,28,22,2,1
C32 H24 O20,32,24,20,0,0
C27 H24 O21,27,24,21,0,0
C27 H22 O16,27,22,16,0,0
C16 13C1 H14 O15,16,14,15,0,0
C15 H18 O13,15,18,13,0,0
C20 H12 O14 S1,20,12,14,0,1
C10 H11 N1 O5,10,11,5,1,0
C27 H21 N1 O16,27,21,16,1,0
C19 H20 N2 O18,19,20,18,2,0
C33 H26 O24,33,26,24,0,0
C25 13C1 H22 O16,25,22,16,0,0
C26 H30 O19,26,30,19,0,0
C24 H20 O13,24,20,13,0,0
C23 H18 O6 S1,23,18,6,0,1
C23 13C1 H16 O15,23,16,15,0,0
C16 H20 O12,16,20,12,0,0
C25 H14 O15,25,14,15,0,0
C10 H8 O3,10,8,3,0,0
C36 H72 O3,36,72,3,0,0
C15 H16 O16 S1,15,16,16,0,1
C13 13C1 H16 O9,13,16,9,0,0
C26 H28 O20,26,28,20,0,0
C27 H23 N1 O19 S1,27,23,19,1,1
C34 H70 S1,34,70,0,0,1
C25 H22 O19,25,22,19,0,0
C22 H26 O11,22,26,11,0,0
C30 H18 O23,30,18,23,0,0
C18 13C1 H12 O14 S1,18,12,14,0,1
C24 13C1 H20 O17,24,20,17,0,0
C11 13C1 H14 O7,11,14,7,0,0
C27 H14 O18,27,14,18,0,0
C18 13C1 H14 O13,18,14,13,0,0
C32 H36 O20,32,36,20,0,0
C33 H22 N2 O19,33,22,19,2,0
C29 H19 N1 O21,29,19,21,1,0
C14 H14 O6,14,14,6,0,0
C40 H72 N2 O1 S1,40,72,1,2,1
C11 H8 O3,11,8,3,0,0
C10 13C1 H8 O10,10,8,10,0,0
C27 H22 O23,27,22,23,0,0
C20 H13 N1 O8 S1,20,13,8,1,1
C20 H20 N2 O12,20,20,12,2,0
C33 H24 O23,33,24,23,0,0
C32 13C1 H28 O22,32,28,22,0,0
C19 H18 N2 O11,19,18,11,2,0
C29 H22 O17 S1,29,22,17,0,1
C24 H26 O17,24,26,17,0,0
C13 13C1 H10 O9,13,10,9,0,0
C30 H25 N1 O20,30,25,20,1,0
C23 13C1 H20 O15,23,20,15,0,0
C14 H16 O6,14,16,6,0,0
C33 H27 N1 O23,33,27,23,1,0
C21 H13 N1 O14,21,13,14,1,0
C22 H21 N1 O12,22,21,12,1,0
C42 H82 N2 O5 S1,42,82,5,2,1
C17 H18 O11,17,18,11,0,0
C22 H24 N2 O13,22,24,13,2,0
C46 H73 N1 O1,46,73,1,1,0
C11 13C1 H12 O7,11,12,7,0,0
C9 H12 O10 S1,9,12,10,0,1
C43 H78 N2 O3 S1,43,78,3,2,1
C26 H21 N1 O18 S1,26,21,18,1,1
C27 H24 N2 O23 S1,27,24,23,2,1
C8 13C1 H10 O6,8,10,6,0,0
C33 H28 O24,33,28,24,0,0
C15 H18 O10,15,18,10,0,0
C26 13C1 H24 O16,26,24,16,0,0
C19 H22 O10,19,22,10,0,0
C27 13C1 H28 O18,27,28,18,0,0
C10 H14 O11 S1,10,14,11,0,1
C19 13C1 H24 O15,19,24,15,0,0
C12 13C1 H14 O8,12,14,8,0,0
C21 H28 O11,21,28,11,0,0
C20 13C1 H18 O15,20,18,15,0,0
C41 H76 O7,41,76,7,0,0
C25 H30 N2 O21 S1,25,30,21,2,1
C33 H26 O19,33,26,19,0,0
C7 H4 O5 S1,7,4,5,0,1
C16 H24 O11,16,24,11,0,0
C15 H10 O11 S1,15,10,11,0,1
C17 H12 O12,17,12,12,0,0
C11 H7 N1 O4,11,7,4,1,0
C22 H16 N2 O19,22,16,19,2,0
C27 H23 N1 O17,27,23,17,1,0
C9 13C1 H14 O8,9,14,8,0,0
C16 H6 O11,16,6,11,0,0
C17 H12 O2 S1,17,12,2,0,1
C17 13C1 H20 O11,17,20,11,0,0
C24 H16 O19,24,16,19,0,0
C6 H6 O6,6,6,6,0,0
C27 H28 O15,27,28,15,0,0
C20 13C1 H14 O12,20,14,12,0,0
C25 H30 O13,25,30,13,0,0
C18 H12 O9 S1,18,12,9,0,1
C30 H34 O19,30,34,19,0,0
C41 H74 O7,41,74,7,0,0
C32 H25 N1 O19 S1,32,25,19,1,1
C33 H30 O20,33,30,20,0,0
C28 13C1 H24 O22,28,24,22,0,0
C19 H26 O13,19,26,13,0,0
C23 H22 N2 O24 S1,23,22,24,2,1
C31 H18 O22,31,18,22,0,0
C46 H80 O9,46,80,9,0,0
C20 H20 O13,20,20,13,0,0
C13 H8 O7,13,8,7,0,0
C15 H24 N2 O13 S1,15,24,13,2,1
C23 H20 O11,23,20,11,0,0
C10 H12 O6,10,12,6,0,0
C16 H13 N1 O11,16,13,11,1,0
C26 13C1 H24 O19,26,24,19,0,0
C19 H18 N2 O18,19,18,18,2,0
C28 H30 N2 O24 34S1,28,30,24,2,0
C31 H28 N2 O22 S1,31,28,22,2,1
C32 H18 O23,32,18,23,0,0
C21 H25 N1 O13,21,25,13,1,0
C27 H20 O10 S1 34S1,27,20,10,0,1
C17 H18 N2 O20,17,18,20,2,0
C29 13C1 H28 O21,29,28,21,0,0
C11 H6 O8,11,6,8,0,0
C40 H76 O5,40,76,5,0,0
C27 H28 O17,27,28,17,0,0
C32 H32 N2 O28,32,32,28,2,0
C20 H26 O13,20,26,13,0,0
C41 H76 O5,41,76,5,0,0
C17 H15 N1 O11,17,15,11,1,0
C19 H20 N2 O11,19,20,11,2,0
C17 H17 N1 O9,17,17,9,1,0
C20 13C1 H22 N2 O22 S1,20,22,22,2,1
C28 13C1 H18 O20,28,18,20,0,0
C18 H12 O13 S1,18,12,13,0,1
C21 H19 N1 O22,21,19,22,1,0
C20 H16 N2 O19,20,16,19,2,0
C18 H14 O10,18,14,10,0,0
C18 H13 N1 O13,18,13,13,1,0
C24 13C1 H18 O20,24,18,20,0,0
C20 H26 O14,20,26,14,0,0
C20 H12 N2 O18 S1,20,12,18,2,1
C42 H74 O7,42,74,7,0,0
C26 H10 N2 O13 S1,26,10,13,2,1
C16 13C1 H16 O14,16,16,14,0,0
C26 H25 N1 O19,26,25,19,1,0
C34 H26 O20 S1,34,26,20,0,1
C17 13C1 H15 N1 O20,17,15,20,1,0
C26 H16 O18,26,16,18,0,0
C29 H26 O20,29,26,20,0,0
C35 H24 O25,35,24,25,0,0
C19 H11 N1 O10,19,11,10,1,0
C22 13C1 H16 N2 O20,22,16,20,2,0
C14 H18 O11,14,18,11,0,0
C25 H20 N2 O21 S1,25,20,21,2,1
C8 H12 O9 S1,8,12,9,0,1
C29 H17 N1 O18 S1,29,17,18,1,1
C39 H78 O1 S1,39,78,1,0,1
C39 H75 N1 O7,39,75,7,1,0
C27 H28 O20,27,28,20,0,0
C33 H25 N1 O28,33,25,28,1,0
C43 H73 N1 O2 S1,43,73,2,1,1
C19 13C1 H18 O15,19,18,15,0,0
C29 H18 O17,29,18,17,0,0
C24 13C1 H26 O18,24,26,18,0,0
C13 H12 O12,13,12,12,0,0
C29 13C1 H22 O20,29,22,20,0,0
C29 H16 O22,29,16,22,0,0
C6 H10 O3 S1,6,10,3,0,1
C21 H12 O15,21,12,15,0,0
C16 H24 O9,16,24,9,0,0
C25 H18 O16,25,18,16,0,0
C14 13C1 H10 O9,14,10,9,0,0
C32 H20 O19,32,20,19,0,0
C27 H25 N1 O16 S1,27,25,16,1,1
C13 H12 O8,13,12,8,0,0
C19 H14 O4,19,14,4,0,0
C34 H26 O25,34,26,25,0,0
C18 H8 O15,18,8,15,0,0
C14 H22 O9,14,22,9,0,0
C24 H32 N2 O20 S1,24,32,20,2,1
C32 H28 O18,32,28,18,0,0
C30 13C1 H18 O22,30,18,22,0,0
C26 H16 N2 O20,26,16,20,2,0
C39 H76 O1 S1,39,76,1,0,1
C13 H7 N1 O9,13,7,9,1,0
C23 H24 O15,23,24,15,0,0
C19 H17 N1 O19,19,17,19,1,0
C27 H26 N2 O26 S1,27,26,26,2,1
C35 H22 O24,35,22,24,0,0
C11 13C1 H8 O9,11,8,9,0,0
C15 H17 N1 O10,15,17,10,1,0
C24 13C1 H24 O15,24,24,15,0,0
C13 H6 O7,13,6,7,0,0
C21 H15 N1 O11 S1,21,15,11,1,1
C30 13C1 H30 O23,30,30,23,0,0
C26 H22 O19,26,22,19,0,0
C19 H15 N1 O11,19,15,11,1,0
C22 13C1 H16 O17,22,16,17,0,0
C11 H11 N1 O8,11,11,8,1,0
C11 13C1 H10 O7,11,10,7,0,0
C39 H76 N2 O3,39,76,3,2,0
C32 H24 N2 O18 S1 34S1,32,24,18,2,1
C31 H22 N2 O21 S1,31,22,21,2,1
C33 H24 N2 O19,33,24,19,2,0
C32 H27 N1 O13 S1 34S1,32,27,13,1,1
C31 H25 N1 O16 S1,31,25,16,1,1
C26 H26 O18,26,26,18,0,0
C38 H34 O25,38,34,25,0,0
C16 H19 N1 O11,16,19,11,1,0
C21 H21 N1 O22 S1,21,21,22,1,1
C24 H23 N1 O23 S1,24,23,23,1,1
C20 H19 N1 O18 S1,20,19,18,1,1
C14 H8 O2 S1,14,8,2,0,1
C19 H21 N1 O14,19,21,14,1,0
C31 H22 O23,31,22,23,0,0
C15 H6 O9,15,6,9,0,0
C15 13C1 H22 O9,15,22,9,0,0
C24 H20 N2 O23 S1,24,20,23,2,1
C32 H16 O21,32,16,21,0,0
C16 H10 O3 S1,16,10,3,0,1
C34 H26 O24,34,26,24,0,0
C27 H24 O20,27,24,20,0,0
C28 13C1 H20 N2 O18 S1,28,20,18,2,1
C28 H16 O18,28,16,18,0,0
C34 H70 O2,34,70,2,0,0
C18 H14 O11,18,14,11,0,0
C16 13C1 H16 O10,16,16,10,0,0
C26 13C1 H22 O17,26,22,17,0,0
C7 13C1 H10 O5,7,10,5,0,0
C28 H25 N1 O17 S1,28,25,17,1,1
C42 H82 O2 S1 34S1,42,82,2,0,1
C41 H80 O5 S1,41,80,5,0,1
C23 H12 N2 O12,23,12,12,2,0
C16 H18 O7,16,18,7,0,0
C24 13C1 H18 N2 O19,24,18,19,2,0
C26 H21 N1 O17 S1,26,21,17,1,1
C25 H16 O18,25,16,18,0,0
C11 H12 O9,11,12,9,0,0
C15 H16 N2 O9,15,16,9,2,0
C27 H32 N2 O22 S1,27,32,22,2,1
C35 H28 O20,35,28,20,0,0
C20 H11 N1 O13,20,11,13,1,0
C11 H8 O12,11,8,12,0,0
C22 13C1 H22 O17,22,22,17,0,0
C29 H30 N2 O25 S1,29,30,25,2,1
C37 H26 O23,37,26,23,0,0
C23 H20 N2 O24 S1,23,20,24,2,1
C31 H16 O22,31,16,22,0,0
C10 H18 N2 O10 S1 34S1,10,18,10,2,1
C21 H12 O6 S1,21,12,6,0,1
C15 H17 N1 O12,15,17,12,1,0
C13 H16 O6,13,16,6,0,0
C31 H16 O18,31,16,18,0,0
C21 H22 O17,21,22,17,0,0
C33 H32 O20,33,32,20,0,0
C26 H23 N1 O18 34S1,26,23,18,1,0
C24 H12 O18,24,12,18,0,0
C35 H28 O24,35,28,24,0,0
C10 H14 N2 O6,10,14,6,2,0
C10 13C1 H12 O8,10,12,8,0,0
C27 H24 N2 O27 S1,27,24,27,2,1
C24 13C1 H24 O14,24,24,14,0,0
C29 H22 O18,29,22,18,0,0
C36 H34 O25,36,34,25,0,0
C16 H18 N2 O7,16,18,7,2,0
C18 13C1 H18 O14,18,18,14,0,0
C29 H17 N1 O19,29,17,19,1,0
C15 H14 O7,15,14,7,0,0
C18 H14 O13,18,14,13,0,0
C27 H26 O18,27,26,18,0,0
C33 13C1 H26 O24,33,26,24,0,0
C15 13C1 H16 O10,15,16,10,0,0
C16 13C1 H18 O13,16,18,13,0,0
C29 H20 O20,29,20,20,0,0
C25 13C1 H22 O19,25,22,19,0,0
C30 H24 O13 S1 34S1,30,24,13,0,1
C29 H22 O16 S1,29,22,16,0,1
C12 H16 O12 S1,12,16,12,0,1
C40 H79 N1 O9,40,79,9,1,0
C22 H23 N1 O15,22,23,15,1,0
C22 H17 N1 O14,22,17,14,1,0
C28 13C1 H22 O18,28,22,18,0,0
C17 H21 N1 O10,17,21,10,1,0
C26 13C1 H19 N1 O21 S1,26,19,21,1,1
C26 H23 N1 O18,26,23,18,1,0
C21 H16 O16,21,16,16,0,0
C15 H14 O13,15,14,13,0,0
C28 13C1 H30 O22,28,30,22,0,0
C15 H9 N1 O9,15,9,9,1,0
C31 H27 N1 O19 S1 34S1,31,27,19,1,1
C32 13C1 H22 N2 O19 S1,32,22,19,2,1
C17 H18 O10,17,18,10,0,0
C22 H19 N1 O14,22,19,14,1,0
C22 H21 N1 O18 S1,22,21,18,1,1
C20 H15 N1 O10,20,15,10,1,0
C16 H13 N1 O8,16,13,8,1,0
C25 13C1 H24 O17,25,24,17,0,0
C23 H23 N1 O19 S1 34S1,23,23,19,1,1
C34 H32 O22,34,32,22,0,0
C27 13C1 H22 O16,27,22,16,0,0
C42 H71 N1 O4,42,71,4,1,0
C32 13C1 H26 O23,32,26,23,0,0
C43 H82 O4 S1,43,82,4,0,1
C13 H14 O9,13,14,9,0,0
C23 13C1 H22 O14,23,22,14,0,0
C15 H8 O10,15,8,10,0,0
C31 H30 N2 O28 S1,31,30,28,2,1
C17 H9 N1 O13,17,9,13,1,0
C21 13C1 H14 O14,21,14,14,0,0
C30 H26 O20,30,26,20,0,0
C24 H13 N1 O11 S1,24,13,11,1,1
C23 13C1 H26 O16,23,26,16,0,0
C31 H20 O23,31,20,23,0,0
C27 H22 O17,27,22,17,0,0
C34 13C1 H26 O24,34,26,24,0,0
C24 H22 N2 O24 S1,24,22,24,2,1
C32 H18 O22,32,18,22,0,0
C20 13C1 H16 O14,20,16,14,0,0
C17 H15 N1 O10,17,15,10,1,0
C33 13C1 H28 O24,33,28,24,0,0
C21 H16 O15,21,16,15,0,0
C7 13C1 H4 O9,7,4,9,0,0
C14 H18 O15 S1,14,18,15,0,1
C40 H78 O6,40,78,6,0,0
C30 H22 O22,30,22,22,0,0
C31 13C1 H26 O22,31,26,22,0,0
C36 H34 O24,36,34,24,0,0
C21 H22 O11,21,22,11,0,0
C12 H10 O10,12,10,10,0,0
C27 H20 O15 S1,27,20,15,0,1
C17 H15 N1 O13,17,15,13,1,0
C15 H16 O7,15,16,7,0,0
C22 H20 O17,22,20,17,0,0
C30 H24 N2 O17,30,24,17,2,0
C17 13C1 H10 O13,17,10,13,0,0
C29 H28 O18,29,28,18,0,0
C33 13C1 H30 O24,33,30,24,0,0
C16 H9 N1 O11,16,9,11,1,0
C21 13C1 H24 O15,21,24,15,0,0
C35 H24 N2 O24,35,24,24,2,0
C19 H26 O10,19,26,10,0,0
C30 H32 O17,30,32,17,0,0
C18 H17 N1 O11,18,17,11,1,0
C28 H18 O16,28,18,16,0,0
C13 H17 N1 O7,13,17,7,1,0
C23 H24 O18,23,24,18,0,0
C16 H19 N1 O10,16,19,10,1,0
C32 H18 O21,32,18,21,0,0
C36 H24 O21,36,24,21,0,0
C16 H12 O10 S1,16,12,10,0,1
C16 H12 O7,16,12,7,0,0
C38 H32 O21 S1 34S1,38,32,21,0,1
C24 H23 N1 O14,24,23,14,1,0
C22 13C1 H24 O14,22,24,14,0,0
C12 13C1 H12 O9,12,12,9,0,0
C10 H12 O7,10,12,7,0,0
C36 H72 N2 O1 S1,36,72,1,2,1
C21 H19 N1 O11,21,19,11,1,0
C27 13C1 H20 O21,27,20,21,0,0
C31 H22 O19,31,22,19,0,0
C34 H23 N1 O16 S1,34,23,16,1,1
C37 H76 O3,37,76,3,0,0
C22 13C1 H20 O17,22,20,17,0,0
C26 H22 O16,26,22,16,0,0
C17 H8 O13,17,8,13,0,0
C30 H34 N2 O24 S1,30,34,24,2,1
C38 H30 O22,38,30,22,0,0
C26 H12 N2 O14 S1,26,12,14,2,1
C12 H9 N1 O9,12,9,9,1,0
C19 H18 O15,19,18,15,0,0
C10 H10 O2,10,10,2,0,0
C20 H14 O12 S1,20,14,12,0,1
C31 H26 O20,31,26,20,0,0
C21 H16 N2 O12,21,16,12,2,0
C11 H12 O4,11,12,4,0,0
C37 H76 O2,37,76,2,0,0
C12 H14 O7,12,14,7,0,0
C19 13C1 H18 O11,19,18,11,0,0
C17 13C1 H12 O14,17,12,14,0,0
C25 H26 N2 O22 S1,25,26,22,2,1
C33 H22 O20,33,22,20,0,0
C42 H81 N1 O10 S1,42,81,10,1,1
C38 H28 O25,38,28,25,0,0
C34 H30 O19,34,30,19,0,0
C39 H34 O26,39,34,26,0,0
