formula_string,C,H,O,N,S
C18 H18 O12,18,18,12,0,0
C10 13C1 H6 O9,10,6,9,0,0
C13 H6 O9,13,6,9,0,0
C31 H16 O20,31,16,20,0,0
C45 H76 N2 O3 S1,45,76,3,2,1
C13 H18 O10,13,18,10,0,0
C18 H20 O13,18,20,13,0,0
C42 H76 O7,42,76,7,0,0
C19 13C1 H20 O11,19,20,11,0,0
C17 H18 O8,17,18,8,0,0
C19 H16 O9,19,16,9,0,0
C10 H21 N1 O3 S1,10,21,3,1,1
C22 H10 O15,22,10,15,0,0
C39 H78 O6,39,78,6,0,0
C21 H12 O13,21,12,13,0,0
C44 H76 N2 O6,44,76,6,2,0
C18 H12 O15,18,12,15,0,0
C11 H8 O8,11,8,8,0,0
C9 H18 N2 O9 S1 34S1,9,18,9,2,1
C19 H22 N2 O17,19,22,17,2,0
C21 H17 N1 O14,21,17,14,1,0
C28 H18 O16 S1,28,18,16,0,1
C29 H28 O22,29,28,22,0,0
C26 H28 N2 O24 S1,26,28,24,2,1
C34 H24 O22,34,24,22,0,0
C27 13C1 H16 O17,27,16,17,0,0
C12 H10 O4,12,10,4,0,0
C14 13C1 H12 O12,14,12,12,0,0
C19 H13 N1 O13,19,13,13,1,0
C38 H76 O4 S1,38,76,4,0,1
C17 H16 O16 S1,17,16,16,0,1
C22 H21 N1 O17 34S1,22,21,17,1,0
C30 H22 N2 O18 S1,30,22,18,2,1
C24 H17 N1 O16,24,17,16,1,0
C28 H12 N2 O14,28,12,14,2,0
C26 H22 O15 S1,26,22,15,0,1
C32 H34 O20,32,34,20,0,0
C28 H22 O17,28,22,17,0,0
C11 H4 O9,11,4,9,0,0
C30 13C1 H22 O23,30,22,23,0,0
C43 H73 N1 O6,43,73,6,1,0
C49 H80 N2 O5 34S1,49,80,5,2,0
C24 13C1 H30 N2 O22 S1,24,30,22,2,1
C32 13C1 H26 O20,32,26,20,0,0
C13 13C1 H18 O10,13,18,10,0,0
C14 13C1 H16 O8,14,16,8,0,0
C26 H18 O21,26,18,21,0,0
C6 13C1 H4 O7,6,4,7,0,0
C20 H14 N2 O19,20,14,19,2,0
C22 H28 O15,22,28,15,0,0
C24 H21 N1 O17,24,21,17,1,0
C23 H22 O14,23,22,14,0,0
C19 H12 O10,19,12,10,0,0
C25 H50 N2 O6 S1,25,50,6,2,1
